ID,Name,Age,Income,Date_of_Birth
1,John,25,50000,1995-05-15
2,Jane,30,60000,1990-08-20
3,Jim,,55000,1992-02-10
4,Mary,28,,1993-11-12
5,Sam,35,70000,1988-03-22
6,Annie,29,80000,1991-06-17
7,Tom,40,65000,1985-12-05
8,Alice,22,75000,1998-07-30
9,Bob,38,95000,1987-09-14
10,Emma,26,70000,1994-01-02
11,Mark,55,110000,1965-04-17
12,Lisa,40,90000,1980-12-03
13,Chris,33,,1990-05-10
14,Nina,30,50000,1990-11-20
15,David,60,120000,1960-06-25
16,Olivia,26,68000,1994-09-12
17,Michael,43,87000,1977-07-30
18,Grace,38,,1990-01-13
19,Steve,50,70000,1975-10-08
20,Sophie,25,85000,1995-12-05
